Word            Total Cum%    NN    VB    DT  PREP   ADJ    PN    CJ   ADV   QNT   SYM    UH
much              934   48     7     0     6     0   351     0     0   570     0     0     0
your              919   48     2     1     0     0     0   916     0     0     0     0     0
way               903   48   894     0     0     0     0     0     0     9     0     0     0
should            902   49     1   901     0     0     0     0     0     0     0     0     0
well              897   49    18     3     0     0     3     0     0   777     0     0    96
down              892   49     5     0     0   483     1     0     0   403     0     0     0
because           883   49     0     0     0   828     0     0     0    55     0     0     0
each              875   49     0     0   875     0     0     0     0     0     0     0     0
just              870   49     0     0     0     0    17     0     0   853     0     0     0
those             849   49     0     0   849     0     0     0     0     0     0     0     0
people            847   49   847     0     0     0     0     0     0     0     0     0     0
how               844   49     4     0     0     0     0     0     0   840     0     0     0
Mr.               843   49   843     0     0     0     0     0     0     0     0     0     0
little            831   49    31     0     0     0   630     0     0   170     0     0     0
too               831   49     0     0     0     0     0     0     0   831     0     0     0
state             810   50   792    18     0     0     0     0     0     0     0     0     0
good              801   50    59     0     0     0   732     0     0     9     0     0     1
very              794   50     0     0     0     0   118     0     0   676     0     0     0
make              793   50     2   791     0     0     0     0     0     0     0     0     0
world             785   50   785     0     0     0     0     0     0     0     0     0     0
still             782   50     1     2     0     0    23     0     0   756     0     0     0
own               772   50     0    20     0     0   752     0     0     0     0     0     0
see               771   50     0   769     0     0     0     0     0     0     0     0     2
men               762   50   762     0     0     0     0     0     0     0     0     0     0
here              761   50     0     0     0     0     0     0     0   759     0     0     2
work              757   50   571   186     0     0     0     0     0     0     0     0     0
long              753   50    27     0     0     0   477     0     0   249     0     0     0
get               747   50     3   744     0     0     0     0     0     0     0     0     0
between           729   51     0     0     0   727     0     0     0     2     0     0     0
Both              729   51     0     0   725     0     0     0     4     0     0     0     0
life              715   51   715     0     0     0     0     0     0     0     0     0     0
being             712   51    57   655     0     0     0     0     0     0     0     0     0
under             706   51     3     0     0   700     1     0     0     2     0     0     0
never             696   51     0     0     0     0     0     0     0   696     0     0     0
day               687   51   687     0     0     0     0     0     0     0     0     0     0
same              686   51     0     0     0     0   686     0     0     0     0     0     0
know              683   51     1   682     0     0     0     0     0     0     0     0     0
another           682   51     2     0   679     0     1     0     0     0     0     0     0
While             679   51    83     1     0   593     2     0     0     0     0     0     0
us                675   51     4     0     0     0     0   671     0     0     0     0     0
last              674   51    11    18     0     0   626     0     0    19     0     0     0
might             672   51     5   667     0     0     0     0     0     0     0     0     0
great             666   52    33     0     0     0   626     0     0     7     0     0     0
year              662   52   660     0     0     0     2     0     0     0     0     0     0
old               660   52    79     0     0     0   581     0     0     0     0     0     0
off               639   52     1     0     0   328     5     0     0   305     0     0     0
come              629   52     4   625     0     0     0     0     0     0     0     0     0
against           625   52     0     0     0   625     0     0     0     0     0     0     0
go                625   52     5   613     0     0     6     0     0     1     0     0     0
Since             625   52     0     0     0   620     0     0     0     5     0     0     0
came              621   52     0   621     0     0     0     0     0     0     0     0     0
right             613   52   179     0     0     1   274     0     0   156     0     0     3
take              609   52     0   609     0     0     0     0     0     0     0     0     0
three             608   52     7     0     0     0     0     0     0     0   601     0     0
used              605   52     0   603     0     0     2     0     0     0     0     0     0
States            602   52   590    12     0     0     0     0     0     0     0     0     0
himself           601   52     0     0     0     0     0   601     0     0     0     0     0
few               597   52     4     0     0     0   592     0     0     1     0     0     0
House             590   52   582     8     0     0     0     0     0     0     0     0     0
use               590   53   359   231     0     0     0     0     0     0     0     0     0
during            585   53     1     0     0   584     0     0     0     0     0     0     0
without           583   53     1     0     0   582     0     0     0     0     0     0     0
again             577   53     1     0     0     0     0     0     0   576     0     0     0
does              571   53     1   570     0     0     0     0     0     0     0     0     0
American          569   53   360     0     0     0   209     0     0     0     0     0     0
place             568   53   495    72     0     0     0     0     0     1     0     0     0
around            562   53     0     0     0   438     0     0     0   124     0     0     0
however           552   53     0     0     0     0     0     0     0   552     0     0     0
home              546   53   535     0     0     0     0     0     0    11     0     0     0
small             540   53    15     0     0     0   525     0     0     0     0     0     0
found             536   53     0   536     0     0     0     0     0     0     0     0     0
Mrs.              533   53   533     0     0     0     0     0     0     0     0     0     0
thought           517   53    99   418     0     0     0     0     0     0     0     0     0
went              507   53     0   507     0     0     0     0     0     0     0     0     0
say               503   53     3   499     0     0     0     0     0     0     0     0     1
part              500   53   499     1     0     0     0     0     0     0     0     0     0
once              499   53     4     0     0    46     0     0     0   449     0     0     0
General           498   54   203     0     0     0   295     0     0     0     0     0     0
high              496   54    37     0     0     0   439     0     0    20     0     0     0
school            493   54   487     6     0     0     0     0     0     0     0     0     0
upon              491   54     4     0     0   482     0     0     0     5     0     0     0
every             490   54     0     0   490     0     0     0     0     0     0     0     0
got               484   54     1   483     0     0     0     0     0     0     0     0     0
United            481   54   462    13     0     0     6     0     0     0     0     0     0
left              480   54    47   339     0     0    81     0     0    13     0     0     0
number            471   54   470     1     0     0     0     0     0     0     0     0     0
course            465   54   465     0     0     0     0     0     0     0     0     0     0
war               464   54   464     0     0     0     0     0     0     0     0     0     0
Until             460   54     0     0     0   460     0     0     0     0     0     0     0
always            456   54     0     0     0     0     0     0     0   456     0     0     0
away              456   54     1     0     0     2     0     0     0   453     0     0     0
let               453   54     2   451     0     0     0     0     0     0     0     0     0
something         450   54   450     0     0     0     0     0     0     0     0     0     0
fact              445   54   445     0     0     0     0     0     0     0     0     0     0
water             445   54   443     1     0     0     1     0     0     0     0     0     0
Though            440   54     6     1     0   397     0     0     0    36     0     0     0
less              437   54     1     0     0     0   174     0     0   262     0     0     0
public            437   54   279     0     0     0   158     0     0     0     0     0     0
put               436   54     0   436     0     0     0     0     0     0     0     0     0
think             433   55     1   432     0     0     0     0     0     0     0     0     0
almost            432   55     3     0     0     0     0     0     0   429     0     0     0
enough            429   55     0     0     0     0    74     0     0   355     0     0     0
hand              428   55   422     6     0     0     0     0     0     0     0     0     0
far               426   55     7     0     0     0    31     0     0   388     0     0     0
took              426   55     0   426     0     0     0     0     0     0     0     0     0
head              420   55   406    10     0     0     3     0     0     1     0     0     0
yet               419   55     0     0     0     0     0     0    78   341     0     0     0
government        418   55   418     0     0     0     0     0     0     0     0     0     0
system            416   55   416     0     0     0     0     0     0     0     0     0     0
better            413   55     2     2     0     0   227     0     0   182     0     0     0
told              413   55     0   413     0     0     0     0     0     0     0     0     0
nothing           412   55   412     0     0     0     0     0     0     0     0     0     0
set               412   55    86   325     0     0     1     0     0     0     0     0     0
night             411   55   410     0     0     0     0     0     0     1     0     0     0
end               408   55   370    38     0     0     0     0     0     0     0     0     0
Why               406   55     1     0     0     0     0     0     0   404     0     0     1
called            401   55     0   401     0     0     0     0     0     0     0     0     0
eyes              401   55   401     0     0     0     0     0     0     0     0     0     0
find              399   55     1   398     0     0     0     0     0     0     0     0     0
going             399   55     1   397     0     0     1     0     0     0     0     0     0
look              399   55    98   300     0     0     0     0     0     0     0     0     1
asked             398   55     0   398     0     0     0     0     0     0     0     0     0
city              396   55   396     0     0     0     0     0     0     0     0     0     0
later             396   56     0     0     0     0    56     0     0   340     0     0     0
knew              395   56     0   395     0     0     0     0     0     0     0     0     0
point             395   56   370    24     0     0     0     0     0     1     0     0     0
next              394   56     1     0     0    22   354     0     0    17     0     0     0
program           394   56   391     3     0     0     0     0     0     0     0     0     0
business          393   56   393     0     0     0     0     0     0     0     0     0     0
group             390   56   388     2     0     0     0     0     0     0     0     0     0
give              389   56     1   388     0     0     0     0     0     0     0     0     0
toward            386   56     0     0     0   386     0     0     0     0     0     0     0
young             386   56    26     0     0     0   360     0     0     0     0     0     0
days              384   56   384     0     0     0     0     0     0     0     0     0     0
President         384   56   384     0     0     0     0     0     0     0     0     0     0
room              384   56   384     0     0     0     0     0     0     0     0     0     0
social            380   56    16     0     0     0   364     0     0     0     0     0     0
side              378   56   373     0     0     0     4     0     0     1     0     0     0
several           377   56     3     0     0     0   373     0     0     1     0     0     0
present           376   56    42    37     0     0   269     0     0    28     0     0     0
given             375   56     0   372     0     0     3     0     0     0     0     0     0
Order             375   56   358    17     0     0     0     0     0     0     0     0     0
national          374   56   153     0     0     0   221     0     0     0     0     0     0
second            374   56    49     0     0     0   309     0     0    15     1     0     0
possible          373   56     0     0     0     0   373     0     0     0     0     0     0
rather            373   56     0     0     0     1     0     0     0   372     0     0     0
face              371   56   315    55     0     0     0     0     0     1     0     0     0
among             370   56     0     0     0   370     0     0     0     0     0     0     0
form              370   56   319    51     0     0     0     0     0     0     0     0     0
important         368   57     0     0     0     0   368     0     0     0     0     0     0
often             368   57     1     0     0     0     0     0     0   367     0     0     0
things            368   57   368     0     0     0     0     0     0     0     0     0     0
looked            367   57     0   367     0     0     0     0     0     0     0     0     0
per               367   57     0     0     0   366     0     0     0     1     0     0     0
White             367   57   113     0     0     0   254     0     0     0     0     0     0
early             366   57    14     0     0     0   255     0     0    97     0     0     0
John              364   57   364     0     0     0     0     0     0     0     0     0     0
big               360   57    36     0     0     0   324     0     0     0     0     0     0
case              360   57   359     1     0     0     0     0     0     0     0     0     0
large             360   57     0     0     0     0   358     0     0     2     0     0     0
four              359   57     2     0     0     0     0     0     0     0   357     0     0
within            359   57     0     0     0   356     0     0     0     3     0     0     0
become            358   57     0   358     0     0     0     0     0     0     0     0     0
need              358   57   162   196     0     0     0     0     0     0     0     0     0
felt              357   57     0   357     0     0     0     0     0     0     0     0     0
along             355   57     0     0     0   305     0     0     0    50     0     0     0
children          355   57   355     0     0     0     0     0     0     0     0     0     0
saw               351   57     4   347     0     0     0     0     0     0     0     0     0
best              350   57     4     0     0     0   284     0     0    62     0     0     0
church            348   57   348     0     0     0     0     0     0     0     0     0     0
ever              345   57     2     0     0     0     0     0     0   343     0     0     0
least             343   57     0     0     0     0   315     0     0    28     0     0     0
Power             340   57   339     1     0     0     0     0     0     0     0     0     0
development       334   57   334     0     0     0     0     0     0     0     0     0     0
seemed            333   57     0   333     0     0     0     0     0     0     0     0     0
thing             333   57   333     0     0     0     0     0     0     0     0     0     0
family            332   57   332     0     0     0     0     0     0     0     0     0     0
light             331   57   264    10     0     0    55     0     0     2     0     0     0
interest          330   58   327     3     0     0     0     0     0     0     0     0     0
want              326   58     7   319     0     0     0     0     0     0     0     0     0
members           325   58   325     0     0     0     0     0     0     0     0     0     0
Area              324   58   324     0     0     0     0     0     0     0     0     0     0
country           324   58   324     0     0     0     0     0     0     0     0     0     0
mind              324   58   284    39     0     0     0     0     0     1     0     0     0
others            322   58   322     0     0     0     0     0     0     0     0     0     0
Although          321   58     0     0     0   321     0     0     0     0     0     0     0
turned            320   58     0   320     0     0     0     0     0     0     0     0     0
done              318   58     0   316     0     0     2     0     0     0     0     0     0
open              318   58    12    45     0     0   242     0     0    19     0     0     0
God               314   58   313     0     0     0     0     0     0     0     0     0     1
kind              314   58   305     0     0     0     9     0     0     0     0     0     0
Service           314   58   310     4     0     0     0     0     0     0     0     0     0
certain           313   58     0     0     0     0   312     0     0     1     0     0     0
problem           313   58   313     0     0     0     0     0     0     0     0     0     0
began             312   58     0   312     0     0     0     0     0     0     0     0     0
different         312   58     0     0     0     0   312     0     0     0     0     0     0
thus              312   58     0     0     0     0     0     0     0   312     0     0     0
help              311   58    95   216     0     0     0     0     0     0     0     0     0
sense             311   58   301    10     0     0     0     0     0     0     0     0     0
door              310   58   309     0     0     0     0     0     0     1     0     0     0
means             309   58   206   103     0     0     0     0     0     0     0     0     0
whole             309   58    66     0     0     0   243     0     0     0     0     0     0
Matter            308   58   296    12     0     0     0     0     0     0     0     0     0
perhaps           307   58     0     0     0     0     0     0     0   307     0     0     0
itself            304   58     0     0     0     0     0   304     0     0     0     0     0
York              302   58   302     0     0     0     0     0     0     0     0     0     0
times             300   58   293     1     0     0     0     0     6     0     0     0     0
human             299   58   166     0     0     0   133     0     0     0     0     0     0
law               299   58   299     0     0     0     0     0     0     0     0     0     0
line              298   58   295     3     0     0     0     0     0     0     0     0     0
above             296   59     0     0     0   241    39     0     0    16     0     0     0
name              295   59   274    20     0     0     0     0     0     0     0     0     1
company           292   59   292     0     0     0     0     0     0     0     0     0     0
example           292   59   292     0     0     0     0     0     0     0     0     0     0
action            291   59   291     0     0     0     0     0     0     0     0     0     0
hands             288   59   288     0     0     0     0     0     0     0     0     0     0
local             288   59     9     0     0     0   279     0     0     0     0     0     0
show              288   59    89   199     0     0     0     0     0     0     0     0     0
history           286   59   286     0     0     0     0     0     0     0     0     0     0
today             286   59   131     0     0     0     1     0     0   154     0     0     0
act               285   59   213    72     0     0     0     0     0     0     0     0     0
five              285   59     2     0     0     0     0     0     0     0   283     0     0
gave              285   59     0   285     0     0     0     0     0     0     0     0     0
whether           285   59     0     0     0   277     0     0     8     0     0     0     0
Either            283   59     1     0   122     0     0     0    79    81     0     0     0
feet              283   59   283     0     0     0     0     0     0     0     0     0     0
across            282   59     0     0     0   279     0     0     0     3     0     0     0
past              281   59   131     0     0    53    91     0     0     6     0     0     0
quite             280   59     0     0     2     0     0     0     0   278     0     0     0
seen              279   59     0   279     0     0     0     0     0     0     0     0     0
taken             279   59     0   279     0     0     0     0     0     0     0     0     0
anything          278   59   278     0     0     0     0     0     0     0     0     0     0
having            278   59     1   277     0     0     0     0     0     0     0     0     0
body              276   59   276     0     0     0     0     0     0     0     0     0     0
death             276   59   276     0     0     0     0     0     0     0     0     0     0
experience        275   59   254    21     0     0     0     0     0     0     0     0     0
half              275   59   123     1   119     0     7     0     0    24     1     0     0
really            275   59     1     0     0     0     0     0     0   272     0     0     2
car               274   59   274     0     0     0     0     0     0     0     0     0     0
week              274   59   274     0     0     0     0     0     0     0     0     0     0
word              274   59   274     0     0     0     0     0     0     0     0     0     0
words             274   59   274     0     0     0     0     0     0     0     0     0     0
already           273   59     0     0     0     0     0     0     0   273     0     0     0
field             273   59   272     0     0     0     1     0     0     0     0     0     0
information       269   59   269     0     0     0     0     0     0     0     0     0     0
themselves        269   59     0     0     0     0     0   269     0     0     0     0     0
tell              268   60     1   267     0     0     0     0     0     0     0     0     0
college           267   60   267     0     0     0     0     0     0     0     0     0     0
together          267   60     1     0     0     1     0     0     0   265     0     0     0
money             266   60   266     0     0     0     0     0     0     0     0     0     0
shall             266   60     1   265     0     0     0     0     0     0     0     0     0
period            265   60   265     0     0     0     0     0     0     0     0     0     0
held              264   60     0   264     0     0     0     0     0     0     0     0     0
sure              263   60     2     0     1     0   224     0     0    24     0     0    12
Keep              261   60     4   257     0     0     0     0     0     0     0     0     0
Probably          261   60     1     0     0     0     0     0     0   260     0     0     0
seems             259   60     4   255     0     0     0     0     0     0     0     0     0
behind            258   60     5     0     0   241     0     0     0    12     0     0     0
political         258   60     1     0     0     0   257     0     0     0     0     0     0
real              258   60     6     0     0     0   239     0     0    13     0     0     0
air               257   60   257     0     0     0     0     0     0     0     0     0     0
free              257   60    15     9     0     0   222     0     0    11     0     0     0
question          257   60   239    18     0     0     0     0     0     0     0     0     0
office            255   60   255     0     0     0     0     0     0     0     0     0     0
making            254   60    22   232     0     0     0     0     0     0     0     0     0
miss              254   60   234    20     0     0     0     0     0     0     0     0     0
brought           252   60     0   252     0     0     0     0     0     0     0     0     0
whose             250   60     0     0     0     0     0   250     0     0     0     0     0
special           248   60    12     0     0     0   236     0     0     0     0     0     0
heard             247   60     7   240     0     0     0     0     0     0     0     0     0
ago               246   60     0     0     0    52     0     0     0   194     0     0     0
became            246   60     0   246     0     0     0     0     0     0     0     0     0
major             246   60    24     1     0     0   221     0     0     0     0     0     0
moment            246   60   246     0     0     0     0     0     0     0     0     0     0
problems          246   60   246     0     0     0     0     0     0     0     0     0     0
study             246   60   206    40     0     0     0     0     0     0     0     0     0
known             245   60     0   241     0     0     4     0     0     0     0     0     0
street            244   60   244     0     0     0     0     0     0     0     0     0     0
economic          243   60    20     0     0     0   223     0     0     0     0     0     0
Federal           243   60    58     0     0     0   185     0     0     0     0     0     0
result            243   60   200    43     0     0     0     0     0     0     0     0     0
boy               242   60   241     0     0     0     0     0     0     0     0     0     1
available         241   60     0     0     0     0   241     0     0     0     0     0     0
change            240   60   168    72     0     0     0     0     0     0     0     0     0
reason            240   60   239     1     0     0     0     0     0     0     0     0     0
South             240   61   187     0     0     0    14     0     0    39     0     0     0
individual        239   61    93     0     0     0   146     0     0     0     0     0     0
position          239   61   236     3     0     0     0     0     0     0     0     0     0
am                237   61     9   228     0     0     0     0     0     0     0     0     0
job               237   61   237     0     0     0     0     0     0     0     0     0     0
areas             236   61   236     0     0     0     0     0     0     0     0     0     0
Society           234   61   234     0     0     0     0     0     0     0     0     0     0
West              234   61   204     0     0     0    15     0     0    15     0     0     0
board             232   61   228     4     0     0     0     0     0     0     0     0     0
close             232   61    17    37     0     0    87     0     0    91     0     0     0
turn              232   61    89   143     0     0     0     0     0     0     0     0     0
community         231   61   231     0     0     0     0     0     0     0     0     0     0
love              231   61   171    60     0     0     0     0     0     0     0     0     0
Court             230   61   228     2     0     0     0     0     0     0     0     0     0
true              230   61     1     0     0     0   226     0     0     1     0     0     2
wife              230   61   230     0     0     0     0     0     0     0     0     0     0
full              229   61     2     0     0     0   224     0     0     3     0     0     0
seem              229   61     0   229     0     0     0     0     0     0     0     0     0
age               228   61   226     2     0     0     0     0     0     0     0     0     0
cost              228   61   188    40     0     0     0     0     0     0     0     0     0
force             228   61   203    25     0     0     0     0     0     0     0     0     0
future            227   61   144     0     0     0    83     0     0     0     0     0     0
voice             227   61   226     1     0     0     0     0     0     0     0     0     0
wanted            226   61     0   226     0     0     0     0     0     0     0     0     0
woman             225   61   224     1     0     0     0     0     0     0     0     0     0
Department        224   61   224     0     0     0     0     0     0     0     0     0     0
necessary         222   61     0     0     0     0   222     0     0     0     0     0     0
Center            221   61   211     7     0     0     3     0     0     0     0     0     0
common            221   61    23     0     0     0   198     0     0     0     0     0     0
control           221   61   191    29     0     0     1     0     0     0     0     0     0
following         221   61    17   196     0     0     8     0     0     0     0     0     0
front             221   61   156     0     0     0    64     0     0     1     0     0     0
policy            221   61   221     0     0     0     0     0     0     0     0     0     0
girl              220   61   220     0     0     0     0     0     0     0     0     0     0
sometimes         220   61     0     0     0     0     0     0     0   220     0     0     0
clear             219   61     0    13     0     0   197     0     0     9     0     0     0
six               219   61     2     0     0     0     0     0     0     0   217     0     0
Further           218   61     1     6     0     0   104     0     0   107     0     0     0
land              217   61   209     8     0     0     0     0     0     0     0     0     0
mother            217   61   216     1     0     0     0     0     0     0     0     0     0
able              216   61     0     0     0     0   216     0     0     0     0     0     0
feel              216   61    17   199     0     0     0     0     0     0     0     0     0
music             216   61   216     0     0     0     0     0     0     0     0     0     0
party             216   61   216     0     0     0     0     0     0     0     0     0     0
provide           215   61     0   215     0     0     0     0     0     0     0     0     0
education         214   62   214     0     0     0     0     0     0     0     0     0     0
level             214   62   205     2     0     0     7     0     0     0     0     0     0
University        214   62   214     0     0     0     0     0     0     0     0     0     0
child             213   62   213     0     0     0     0     0     0     0     0     0     0
students          213   62   213     0     0     0     0     0     0     0     0     0     0
town              213   62   213     0     0     0     0     0     0     0     0     0     0
effect            212   62   197    15     0     0     0     0     0     0     0     0     0
military          212   62    16     0     0     0   196     0     0     0     0     0     0
run               212   62    54   158     0     0     0     0     0     0     0     0     0
short             212   62     8     0     0     0   199     0     0     5     0     0     0
morning           211   62   209     0     0     0     0     0     0     0     0     0     2
stood             211   62     0   211     0     0     0     0     0     0     0     0     0
total             210   62   112     6     0     0    92     0     0     0     0     0     0
U.S.              210   62   202     0     0     0     8     0     0     0     0     0     0
figure            209   62   191    18     0     0     0     0     0     0     0     0     0
outside           209   62    32     0     0    98    58     0     0    21     0     0     0
art               208   62   203     5     0     0     0     0     0     0     0     0     0
rate              208   62   205     3     0     0     0     0     0     0     0     0     0
Century           207   62   207     0     0     0     0     0     0     0     0     0     0
class             207   62   207     0     0     0     0     0     0     0     0     0     0
North             206   62   161     0     0     0    14     0     0    31     0     0     0
Washington        206   62   206     0     0     0     0     0     0     0     0     0     0
leave             205   62     8   197     0     0     0     0     0     0     0     0     0
plan              205   62   175    30     0     0     0     0     0     0     0     0     0
therefore         205   62     0     0     0     0     0     0     2   203     0     0     0
usually           205   62     0     0     0     0     0     0     0   205     0     0     0
black             204   62    54     1     0     0   149     0     0     0     0     0     0
evidence          204   62   203     1     0     0     0     0     0     0     0     0     0
million           204   62     0     0     0     0     0     0     0     0   204     0     0
sound             204   62   120    19     0     0    63     0     0     2     0     0     0
top               203   62   129     3     0     0    69     0     0     2     0     0     0
strong            202   62     2     0     0     0   199     0     0     1     0     0     0
hard              201   62     2     0     0     0   137     0     0    62     0     0     0
tax               201   62   198     3     0     0     0     0     0     0     0     0     0
believe           200   62     0   200     0     0     0     0     0     0     0     0     0
play              200   62    91   109     0     0     0     0     0     0     0     0     0
says              200   62     0   200     0     0     0     0     0     0     0     0     0
soon              200   62     0     0     0     0     0     0     0   200     0     0     0
type              200   62   199     1     0     0     0     0     0     0     0     0     0
value             200   62   200     0     0     0     0     0     0     0     0     0     0
various           200   62     1     0     0     0   199     0     0     0     0     0     0
mean              199   62    17   153     0     0    29     0     0     0     0     0     0
lines             198   62   197     1     0     0     0     0     0     0     0     0     0
near              198   62     0     3     0   164    28     0     0     3     0     0     0
peace             198   62   198     0     0     0     0     0     0     0     0     0     0
road              198   62   198     0     0     0     0     0     0     0     0     0     0
book              197   62   197     0     0     0     0     0     0     0     0     0     0
modern            197   62    27     0     0     0   170     0     0     0     0     0     0
red               197   62    72     0     0     0   125     0     0     0     0     0     0
surface           196   63   196     0     0     0     0     0     0     0     0     0     0
alone             195   63     1     0     0     0     7     0     0   187     0     0     0
